code,lat,lon,elev_m
ACH,58.21,-155.3281,960.0
ADAG,51.98004,-176.60023,293.0
ADKI,51.8617,-176.6448,6.0
AHB,54.115339,-165.8161,411.0
AJAX,56.8887,-158.2238,967.0
AK1,54.135,-165.772,12.0
AK2,54.1233,-165.7803,90.0
AK3,54.135,-165.772,12.0
AK4,54.1091,-165.7337,135.0
AK5,54.15434,-165.867,225.0
AKBB,54.0975,-165.9338,310.0
AKGG,54.1979,-165.9936,326.0
AKHS,54.1533,-165.8868,553.0
AKLV,54.162633,-165.95563,528.0
AKM,54.1543,-165.867,225.0
AKMO,54.0903,-166.0126,277.0
AKRB,54.1292,-166.0708,334.0
AKS,54.11047,-165.69691,219.5
AKSA,54.11047,-165.69691,219.5
AKT,54.1349,-165.772,12.0
AKV,54.12591,-165.96234,905.0
AMKA,51.3784,179.3019,116.0
ANCK,58.198743,-155.4955,865.0
ANIA,56.9048,-158.2316,930.0
ANNE,56.9119,-158.061,705.0
ANNQ,56.932754,-158.113103,371.0
ANNW,56.9656,-158.217,816.0
ANON,56.919,-158.1737,445.0
ANPB,56.80157,-158.28265,662.0
ANPK,56.8409,-158.1283,972.0
ANRM,56.8962,-158.2337,1037.0
ANSL,56.9316,-158.1384,344.0
ANVM,56.8858,-158.17509,591.3
AU11,59.359,-153.4826,234.0
AU12,59.3829,-153.4542,210.0
AU13,59.3458,-153.4364,518.0
AU14,59.3705,-153.3992,303.0
AU15,59.3501,-153.4879,168.0
AU20,59.3696,-153.3563,102.0
AU22,59.370595,-153.35506,105.0
AUC,59.3593,-153.4268,1175.0
AUCH,59.3626,-153.4447,916.0
AUE,59.3711,-153.3773,168.0
AUH,59.3632,-153.4454,890.0
AUI,59.3345,-153.4299,293.0
AUJA,59.33956,-153.42258,376.0
AUJK,59.34593,-153.41057,359.0
AUL,59.38218,-153.43765,327.0
AULG,59.3773,-153.5193,18.0
AUNO,59.403992,-153.451444,30.5
AUNW,59.3775,-153.479,160.0
AUP,59.3627,-153.4226,1033.0
AUQ,59.3549,-153.4143,647.0
AUR,59.3621,-153.4335,1225.0
AUS,59.3593,-153.4329,1226.0
AUSB,59.333,-153.4284,230.0
AUSE,59.3407,-153.3997,152.0
AUSS,59.358957,-153.431042,1211.0
AUW,59.369413,-153.47295,300.0
AUWS,59.35851,-153.46115,465.0
