origin_time	origin_julday	origin_latitude	origin_longitude	origin_depth_km	approx_distance_km
2019-06-10T14:17:21.460000Z	161	57.68	-152.7362	23.6	15.621
2019-05-20T08:38:27.360000Z	140	57.5925	-152.6751	29.1	16.272
2019-05-20T00:52:44.817000Z	140	57.625	-152.8408	26.6	23.055
2019-06-10T21:47:43.502000Z	161	57.5799	-152.0111	17.5	30.398
2019-06-10T07:25:13.236000Z	161	58.0344	-152.547	42.2	38.392
2019-06-06T20:54:28.087000Z	157	57.3243	-152.3404	14.7	41.72
2019-06-20T20:23:26.606000Z	171	57.9787	-152.9835	34.1	43.959
2019-06-09T06:03:28.490000Z	160	57.8328	-153.1742	41.0	44.468
2019-05-18T07:19:59.257000Z	138	57.791	-153.2006	37.8	44.59
2019-06-05T19:44:43.929000Z	156	58.1286	-152.3001	37.2	49.743
2019-06-18T00:49:52.534000Z	169	57.9846	-153.1344	65.0	50.953
2019-06-07T15:47:02.637000Z	158	58.0422	-151.8212	32.4	55.044
2019-06-02T00:15:56.372000Z	153	57.9815	-153.2515	51.1	56.276
2019-06-17T06:33:05.069000Z	168	57.2183	-152.8812	20.4	58.092
2019-06-07T19:08:54.225000Z	158	57.818	-153.4873	47.1	61.87
2019-06-22T08:48:27.501000Z	173	58.0423	-153.308	58.3	62.98
2019-06-01T03:28:58.186000Z	152	58.2632	-152.9738	32.4	70.143
2019-06-11T01:05:00.779000Z	162	58.0938	-151.5548	17.9	70.602
2019-06-07T01:56:29.201000Z	158	58.2619	-153.0277	57.1	71.414
2019-06-11T08:59:33.725000Z	162	58.2615	-153.0473	45.8	71.913
2019-06-22T11:19:38.064000Z	173	58.2547	-153.0838	54.2	72.299
2019-06-17T19:16:29.418000Z	168	57.9984	-153.5902	60.9	74.499
2019-05-28T00:02:49.105000Z	148	58.0168	-153.6841	58.2	80.381
2019-06-15T20:54:44.006000Z	166	57.5335	-153.7991	16.3	81.065
2019-05-27T15:05:39.773000Z	147	57.5333	-153.8112	15.1	81.776
2019-06-10T15:54:23.260000Z	161	57.1245	-153.3394	21.0	81.788
2019-05-17T22:01:14.270000Z	137	57.334	-153.6786	39.5	82.396
2019-06-04T22:48:23.220000Z	155	57.6499	-153.8672	36.4	83.193
2019-06-13T19:24:01.665000Z	164	58.4306	-152.7015	62.5	83.362
2019-06-19T08:45:54.399000Z	170	58.1753	-153.607	53.6	85.992
2019-05-28T12:47:07.244000Z	148	57.5567	-153.8947	33.5	86.136
2019-06-16T09:08:37.969000Z	167	57.3245	-153.863	32.1	92.696
2019-06-17T01:07:37.076000Z	168	57.203	-153.7475	23.0	93.798
2019-06-08T14:16:00.400000Z	159	57.7837	-154.0754	15.0	95.857
2019-06-16T21:59:44.569000Z	167	56.9039	-153.1183	17.6	95.927
2019-05-28T14:00:22.418000Z	148	58.2522	-151.2325	25.6	96.457
2019-06-07T16:20:02.983000Z	158	58.3314	-151.3353	9.8	98.056
2019-06-07T15:08:47.865000Z	158	58.3324	-151.3089	13.4	99.214
2019-06-19T15:16:46.397000Z	170	57.7995	-154.1351	55.6	99.569
2019-06-07T15:01:37.444000Z	158	58.2787	-151.1923	43.7	100.161
2019-06-07T14:57:32.158000Z	158	58.2896	-151.1847	47.0	101.287
2019-06-07T16:18:52.664000Z	158	58.3018	-151.2008	9.0	101.467
2019-06-18T00:20:16.774000Z	169	58.315	-151.2223	20.1	101.515
2019-06-07T16:24:26.723000Z	158	58.2608	-151.1217	44.2	102.128
2019-06-12T19:34:53.261000Z	163	58.2593	-153.8326	68.7	102.202
2019-06-08T19:33:06.424000Z	159	58.3083	-151.1924	31.8	102.315
2019-06-08T01:44:50.974000Z	159	58.2903	-151.1588	44.0	102.497
2019-06-13T19:08:54.994000Z	164	58.2997	-151.1638	15.0	102.95
2019-06-22T01:56:16.267000Z	173	58.1354	-154.0049	7.8	103.253
2019-06-13T00:03:35.846000Z	164	58.2807	-153.8269	73.9	103.413
2019-06-07T14:59:16.741000Z	158	58.2732	-151.1048	17.1	103.759
2019-06-08T00:17:36.119000Z	159	58.282	-151.1014	20.0	104.522
2019-06-14T08:00:00.836000Z	165	58.4208	-153.5975	67.5	104.794
2019-05-29T00:14:18.789000Z	149	58.6299	-152.2001	9.9	105.732
2019-06-07T15:32:55.632000Z	158	58.2797	-151.0697	17.0	105.83
2019-05-25T20:20:50.001000Z	145	56.8249	-153.2209	12.8	106.514
2019-06-07T19:12:45.996000Z	158	58.1106	-154.1354	66.5	108.926
2019-06-05T00:17:25.750000Z	156	58.2943	-153.9367	74.0	109.422
2019-05-18T19:30:06.748000Z	138	58.6602	-152.8052	59.4	109.592
2019-06-03T17:12:21.510000Z	154	58.6555	-152.8815	58.9	109.965
2019-06-18T02:12:04.018000Z	169	58.6695	-152.8599	54.6	111.221
2019-05-27T17:21:36.947000Z	147	58.3589	-153.8798	62.9	111.39
2019-05-22T00:25:16.547000Z	142	58.2383	-154.0519	76.5	111.412
2019-06-19T03:24:34.510000Z	170	58.3756	-153.8702	73.7	112.207
2019-05-25T08:34:30.115000Z	145	58.4209	-153.7914	58.8	112.389
2019-05-22T08:59:53.865000Z	142	57.01	-153.8681	18.9	113.115
2019-05-28T09:38:42.133000Z	148	57.8239	-154.3756	15.0	114.079
2019-06-07T07:00:33.023000Z	158	58.7179	-152.4403	12.0	114.305
2019-05-24T22:52:48.279000Z	144	57.2637	-154.2273	50.3	115.411
2019-06-09T16:22:47.720000Z	160	56.8905	-153.714	23.7	116.368
2019-05-21T13:27:42.627000Z	141	57.0168	-153.9635	23.1	116.94
2019-05-27T11:01:30.325000Z	147	58.2438	-154.1798	77.6	118.136
2019-05-23T19:38:15.514000Z	143	58.1848	-154.2549	80.7	118.853
2019-05-28T10:51:48.010000Z	148	57.2834	-154.3131	36.6	119.236
