event_name,start_date,start_longitude,start_latitude,stop_date,stop_longitude,stop_latitude,nav_type,feature_id,start_shotpoint,stop_shotpoint,sequence_number,details,url
﻿OBS03,2011-07-03T11:17:00,-158.054,56.3422,2011-07-05T03:46:00,-155.355,53.8868,GPS,Alaska:Aleutians,1004,2166,1,,
OBS05T,2011-07-08T20:56:00,-160.88,55.0533,2011-07-08T21:58:00,-160.776,55.1097,GPS,Alaska:Aleutians,1010,1039,2,,
OBS05,2011-07-08T21:59:00,-160.764,55.1094,2011-07-10T08:37:00,-159.477,52.4508,GPS,Alaska:Aleutians,992,1985,3,,
MCS05B,2011-07-16T08:17:43,-160.71571,55.03566,2011-07-17T20:56:33,-159.52884,52.59986,GPS,Alaska:Aleutians,1100,5613,8,,
MCS45,2011-07-17T21:02:48,-159.51733,52.59863,2011-07-18T14:27:07,-157.64237,53.0009,GPS,Alaska:Aleutians,1033,3180,9,,
MCS04,2011-07-18T17:33:32,-157.63002,52.91536,2011-07-20T10:48:53,-159.22162,55.64651,GPS,Alaska:Aleutians,857,5996,10,,
MCS34,2011-07-20T23:43:30,-158.28256,55.94103,2011-07-21T03:09:55,-157.91834,56.09593,GPS,Alaska:Aleutians,1846,2302,11,,
MCS03T,2011-07-21T03:40:29,-157.93696,56.13029,2011-07-21T06:23:25,-158.08653,56.29033,GPS,Alaska:Aleutians,1089,1400,12,,
MCS03,2011-07-21T07:12:07,-158.00787,56.29838,2011-07-23T02:32:13,-155.48869,53.65526,GPS,Alaska:Aleutians,1110,6478,13,,
MCS23A,2011-07-23T03:38:58,-155.56272,53.59886,2011-07-23T13:14:37,-156.45328,53.23834,GPS,Alaska:Aleutians,1121,2265,14,,
MCS23B,2011-07-23T13:45:06,-156.49626,53.25178,2011-07-23T22:14:03,-156.4917,53.79266,GPS,Alaska:Aleutians,1066,2029,15,,
MCS23C,2011-07-23T22:38:18,-156.44741,53.80141,2011-07-25T00:45:00,-153.39261,53.80196,GPS,Alaska:Aleutians,1060,4280,16,,
MCS23D,2011-07-25T05:22:57,-153.35912,54.0973,2011-07-25T11:15:31,-153.36009,54.50384,GPS,Alaska:Aleutians,1534,2258,17,,
MCS02,2011-07-25T11:24:00,-153.36589,54.51401,2011-07-26T18:00:01,-155.61451,56.35038,GPS,Alaska:Aleutians,1018,5005,18,,
MCS02R,2011-07-26T23:13:55,-155.55983,56.29987,2011-07-27T10:55:08,-156.34532,57.01255,GPS,Alaska:Aleutians,4900,6385,19,,
MCS12M,2011-07-27T11:16:14,-156.33445,57.03372,2011-07-27T18:49:37,-155.65846,57.41006,GPS,Alaska:Aleutians,1036,1972,20,Line 12M is called Line 12A in science party documents.,
MCS01A,2011-07-27T19:09:01,-155.61836,57.41025,2011-07-27T23:47:30,-155.26459,57.14798,GPS,Alaska:Aleutians,1034,1613,21,,
MCS01B,2011-07-27T23:50:21,-155.26132,57.14581,2011-07-28T05:38:04,-154.80755,56.79083,GPS,Alaska:Aleutians,1618,2388,22,,
MCS12B,2011-07-28T05:57:01,-154.82377,56.77179,2011-07-28T11:48:24,-155.2393,56.42323,GPS,Alaska:Aleutians,1047,1790,23,,
MCS12C,2011-07-28T14:31:02,-155.45507,56.19585,2011-07-28T20:28:57,-155.08456,55.92068,GPS,Alaska:Aleutians,1051,1663,24,,
MCS12D,2011-07-28T20:43:31,-155.05757,55.92433,2011-07-29T05:54:08,-154.26001,56.31353,GPS,Alaska:Aleutians,1065,2118,25,,
MCS01C,2011-07-29T05:57:03,-154.25486,56.31345,2011-07-29T20:40:05,-153.22789,55.42546,GPS,Alaska:Aleutians,1018,2906,26,,
MCS12E,2011-07-29T21:41:10,-153.27924,55.36794,2011-07-30T12:44:58,-154.86242,54.71665,GPS,Alaska:Aleutians,1103,3095,27,,
MCS12F,2011-07-30T13:40:55,-154.95438,54.75018,2011-07-31T02:08:25,-155.84362,55.55005,GPS,Alaska:Aleutians,1110,2799,28,,
MCS07,2011-07-31T04:05:51,-156.07411,55.55301,2011-08-01T17:21:13,-160.62507,54.45426,GPS,Alaska:Aleutians,1199,6291,29,,
MCS56,2011-08-01T17:37:40,-160.6545,54.46364,2011-08-02T01:25:30,-160.90988,55.06314,GPS,Alaska:Aleutians,1029,2128,30,,
MCS06,2011-08-02T05:02:04,-160.99959,54.90276,2011-08-03T11:59:03,-160.99964,52.53587,GPS,Alaska:Aleutians,1386,5601,31,,
MCS67A,2011-08-03T12:39:37,-160.95358,52.50031,2011-08-03T15:15:53,-160.64044,52.50114,GPS,Alaska:Aleutians,1055,1395,32,,
MCS67B,2011-08-03T15:31:15,-160.61946,52.51367,2011-08-03T22:55:32,-160.61691,53.05011,GPS,Alaska:Aleutians,1029,1984,33,,
