lineno,shotno,lat,lon,time
1,991,57.220942,-152.08304,2019:159:20:24:36.749800
1,992,57.217947,-152.07925,2019:159:20:27:16.307800
1,993,57.214892,-152.07575,2019:159:20:29:52.025800
1,994,57.211775,-152.07248,2019:159:20:32:26.786800
1,995,57.208584,-152.06944,2019:159:20:35:00.637800
1,996,57.205387,-152.06644,2019:159:20:37:35.928800
1,997,57.202162,-152.06347,2019:159:20:40:11.976800
1,998,57.19896,-152.06048,2019:159:20:42:46.646800
1,999,57.195722,-152.05765,2019:159:20:45:22.639800
1,1000,57.192451,-152.05491,2019:159:20:48:00.788800
1,1001,57.189194,-152.05213,2019:159:20:50:37.085800
1,1002,57.18592,-152.0494,2019:159:20:53:09.979800
1,1003,57.182651,-152.04666,2019:159:20:55:43.650800
1,1004,57.179378,-152.04395,2019:159:20:58:18.107800
1,1005,57.176103,-152.04122,2019:159:21:00:51.898800
1,1006,57.172822,-152.03853,2019:159:21:03:26.807800
1,1007,57.169561,-152.03574,2019:159:21:06:01.261800
1,1008,57.166278,-152.03305,2019:159:21:08:36.299800
1,1009,57.163015,-152.03027,2019:159:21:11:11.459800
1,1010,57.159741,-152.02756,2019:159:21:13:46.400800
1,1011,57.156466,-152.02483,2019:159:21:16:22.523800
1,1012,57.153209,-152.02206,2019:159:21:18:58.707800
1,1013,57.149944,-152.01931,2019:159:21:21:33.529800
1,1014,57.146683,-152.01655,2019:159:21:24:09.338800
1,1015,57.143416,-152.0138,2019:159:21:26:45.261800
1,1016,57.140161,-152.01101,2019:159:21:29:21.272800
1,1017,57.136891,-152.00829,2019:159:21:31:56.669800
1,1018,57.133585,-152.00565,2019:159:21:34:32.837800
1,1019,57.130358,-152.00278,2019:159:21:37:10.510800
1,1020,57.127102,-152,2019:159:21:39:45.964800
1,1021,57.123823,-151.9973,2019:159:21:42:21.119800
1,1022,57.120571,-151.99452,2019:159:21:44:57.415800
1,1023,57.117317,-151.99174,2019:159:21:47:33.730800
1,1024,57.114058,-151.98895,2019:159:21:50:10.220800
1,1025,57.110796,-151.98618,2019:159:21:52:46.535800
1,1026,57.107527,-151.98344,2019:159:21:55:24.385800
1,1027,57.104275,-151.98066,2019:159:21:58:01.062800
1,1028,57.101008,-151.97793,2019:159:22:00:38.967800
1,1029,57.097721,-151.97526,2019:159:22:03:15.461800
1,1030,57.09444,-151.97256,2019:159:22:05:50.371800
1,1031,57.091179,-151.9698,2019:159:22:08:24.885800
1,1032,57.087897,-151.96711,2019:159:22:11:01.146800
1,1033,57.084623,-151.96437,2019:159:22:13:38.875800
1,1034,57.081361,-151.96163,2019:159:22:16:14.791800
1,1035,57.078078,-151.95894,2019:159:22:18:51.010800
1,1036,57.074814,-151.95618,2019:159:22:21:30.847800
1,1037,57.071552,-151.95345,2019:159:22:24:11.645800
1,1038,57.068279,-151.95072,2019:159:22:26:52.417800
1,1039,57.065011,-151.94798,2019:159:22:29:33.775800
1,1040,57.061746,-151.94524,2019:159:22:32:13.436800
1,1041,57.058472,-151.94251,2019:159:22:34:51.491800
1,1042,57.055196,-151.93983,2019:159:22:37:32.918800
1,1043,57.051927,-151.93707,2019:159:22:40:14.744800
1,1044,57.048647,-151.93436,2019:159:22:42:53.224800
1,1045,57.04538,-151.93163,2019:159:22:45:30.428800
1,1046,57.042117,-151.92888,2019:159:22:48:07.200800
1,1047,57.038851,-151.92615,2019:159:22:50:45.570800
1,1048,57.035582,-151.92341,2019:159:22:53:24.552800
1,1049,57.03231,-151.92069,2019:159:22:56:03.122800
1,1050,57.02903,-151.91802,2019:159:22:58:44.312800
1,1051,57.025757,-151.9153,2019:159:23:01:25.777800
1,1052,57.022468,-151.91265,2019:159:23:04:05.310800
1,1053,57.019155,-151.91005,2019:159:23:06:46.327800
1,1054,57.015909,-151.90724,2019:159:23:09:28.627800
1,1055,57.012628,-151.90456,2019:159:23:12:14.683800
1,1056,57.009365,-151.90181,2019:159:23:15:03.245800
1,1057,57.006102,-151.89906,2019:159:23:17:50.674800
1,1058,57.002837,-151.89634,2019:159:23:20:36.832800
1,1059,56.999568,-151.89361,2019:159:23:23:23.311800
1,1060,56.996305,-151.89087,2019:159:23:26:10.391800
1,1061,56.993023,-151.88818,2019:159:23:28:57.881800
1,1062,56.989751,-151.88544,2019:159:23:31:46.412800
1,1063,56.986513,-151.88264,2019:159:23:34:38.379800
1,1064,56.983233,-151.87996,2019:159:23:37:30.371800
1,1065,56.979935,-151.87732,2019:159:23:40:23.223800
1,1066,56.97665,-151.87462,2019:159:23:43:18.743800
1,1067,56.973381,-151.87191,2019:159:23:46:14.137800
1,1068,56.970113,-151.8692,2019:159:23:49:11.615800
1,1069,56.966837,-151.86649,2019:159:23:52:09.133800
1,1070,56.963541,-151.86386,2019:159:23:55:05.718800
1,1071,56.960267,-151.86115,2019:159:23:58:03.011800
1,1072,56.956982,-151.85849,2019:160:00:01:02.153800
1,1073,56.953686,-151.85584,2019:160:00:04:01.651800
1,1074,56.950416,-151.85309,2019:160:00:07:02.705800
1,1075,56.947161,-151.85032,2019:160:00:10:08.992800
1,1076,56.943931,-151.84747,2019:160:00:13:15.726800
1,1077,56.940726,-151.84456,2019:160:00:16:21.025800
1,1078,56.937469,-151.8418,2019:160:00:19:25.140800
1,1079,56.934183,-151.83915,2019:160:00:22:26.998800
1,1080,56.930889,-151.8365,2019:160:00:25:29.882800
1,1081,56.927609,-151.8338,2019:160:00:28:30.240800
1,1082,56.924337,-151.8311,2019:160:00:31:32.352800
1,1083,56.921068,-151.82838,2019:160:00:34:32.297800
1,1084,56.917799,-151.82567,2019:160:00:37:30.878800
1,1085,56.914521,-151.823,2019:160:00:40:29.180800
1,1086,56.911233,-151.82032,2019:160:00:43:25.305800
1,1087,56.907951,-151.81763,2019:160:00:46:19.662800
1,1088,56.904645,-151.81504,2019:160:00:49:17.479800
1,1089,56.901348,-151.81235,2019:160:00:52:19.059800
1,1090,56.898095,-151.80962,2019:160:00:55:19.725800
1,1091,56.894832,-151.80687,2019:160:00:58:20.147800
1,1092,56.891603,-151.80403,2019:160:01:01:19.354800
1,1093,56.888346,-151.80126,2019:160:01:04:16.326800
1,1094,56.88508,-151.79855,2019:160:01:07:10.923800
1,1095,56.8818,-151.79587,2019:160:01:10:01.793800
1,1096,56.878511,-151.79323,2019:160:01:12:51.182800
1,1097,56.875228,-151.79057,2019:160:01:15:49.476800
1,1098,56.87195,-151.78789,2019:160:01:18:47.127800
1,1099,56.868673,-151.78519,2019:160:01:21:41.853800
1,1100,56.865369,-151.78256,2019:160:01:24:41.564800
1,1101,56.862144,-151.7797,2019:160:01:27:43.142800
1,1102,56.858889,-151.77696,2019:160:01:30:45.963800
1,1103,56.855618,-151.77426,2019:160:01:33:44.649800
1,1104,56.852338,-151.77159,2019:160:01:36:46.302800
1,1105,56.84906,-151.7689,2019:160:01:39:44.136800
1,1106,56.845803,-151.76614,2019:160:01:42:39.737800
1,1107,56.842532,-151.76343,2019:160:01:45:35.848800
1,1108,56.839272,-151.76073,2019:160:01:48:33.592800
1,1109,56.835964,-151.75811,2019:160:01:51:33.427800
1,1110,56.832697,-151.7554,2019:160:01:54:30.504800
1,1111,56.82941,-151.75274,2019:160:01:57:28.913800
1,1112,56.826143,-151.75005,2019:160:02:00:27.793800
1,1113,56.822857,-151.74738,2019:160:02:03:29.653800
1,1114,56.819594,-151.74464,2019:160:02:06:32.843800
1,1115,56.816316,-151.74194,2019:160:02:09:35.268800
1,1116,56.813041,-151.73927,2019:160:02:12:33.065800
1,1117,56.809763,-151.73659,2019:160:02:15:28.362800
1,1118,56.80648,-151.73394,2019:160:02:18:24.808800
1,1119,56.803191,-151.73129,2019:160:02:21:23.520800
1,1120,56.799919,-151.7286,2019:160:02:24:19.746800
1,1121,56.796648,-151.72591,2019:160:02:27:14.558800
1,1122,56.793368,-151.7232,2019:160:02:30:08.742800
1,1123,56.7901,-151.7205,2019:160:02:32:59.737800
1,1124,56.786847,-151.71774,2019:160:02:35:47.670800
1,1125,56.78358,-151.71503,2019:160:02:38:34.957800
1,1126,56.780307,-151.71233,2019:160:02:41:24.436800
1,1127,56.777032,-151.70964,2019:160:02:44:13.169800
1,1128,56.77375,-151.70697,2019:160:02:47:01.442800
1,1129,56.770477,-151.70429,2019:160:02:49:48.121800
1,1130,56.767203,-151.70159,2019:160:02:52:38.736800
1,1131,56.763936,-151.69888,2019:160:02:55:27.446800
1,1132,56.760679,-151.69612,2019:160:02:58:14.855800
1,1133,56.757413,-151.69341,2019:160:03:00:57.196800
1,1134,56.754133,-151.69075,2019:160:03:03:39.250800
1,1135,56.750868,-151.68803,2019:160:03:06:22.430800
1,1136,56.747575,-151.6854,2019:160:03:09:06.513800
1,1137,56.74431,-151.6827,2019:160:03:11:49.309800
1,1138,56.741033,-151.68003,2019:160:03:14:33.771800
1,1139,56.737748,-151.67734,2019:160:03:17:22.168800
1,1140,56.73447,-151.67467,2019:160:03:20:10.917800
1,1141,56.731192,-151.67199,2019:160:03:23:03.144800
1,1142,56.727907,-151.66937,2019:160:03:25:54.235800
1,1143,56.724608,-151.66673,2019:160:03:28:47.124800
1,1144,56.721326,-151.66407,2019:160:03:31:36.398800
1,1145,56.718053,-151.66138,2019:160:03:34:28.434800
1,1146,56.714778,-151.65871,2019:160:03:37:20.076800
1,1147,56.711504,-151.65603,2019:160:03:40:10.247800
1,1148,56.708241,-151.65331,2019:160:03:43:05.245800
1,1149,56.704981,-151.65056,2019:160:03:46:04.535800
1,1150,56.701718,-151.64785,2019:160:03:48:59.470800
1,1151,56.698468,-151.64508,2019:160:03:51:51.674800
1,1152,56.695204,-151.64235,2019:160:03:54:48.518800
1,1153,56.691938,-151.63965,2019:160:03:57:42.680800
1,1154,56.688666,-151.63696,2019:160:04:00:34.168800
1,1155,56.685405,-151.63421,2019:160:04:03:27.927800
1,1156,56.682133,-151.63153,2019:160:04:06:23.309800
1,1157,56.678854,-151.62887,2019:160:04:09:18.201800
1,1158,56.675577,-151.62619,2019:160:04:12:11.501800
1,1159,56.672305,-151.6235,2019:160:04:15:03.085800
1,1160,56.669033,-151.62085,2019:160:04:17:54.565800
1,1161,56.665738,-151.61825,2019:160:04:20:50.679800
1,1162,56.66247,-151.61554,2019:160:04:23:46.338800
1,1163,56.659211,-151.61281,2019:160:04:26:42.198800
1,1164,56.655932,-151.61014,2019:160:04:29:33.332800
1,1165,56.652654,-151.60747,2019:160:04:32:25.674800
1,1166,56.649373,-151.60478,2019:160:04:35:17.338800
1,1167,56.646082,-151.60212,2019:160:04:38:07.089800
1,1168,56.642811,-151.59947,2019:160:04:40:59.112800
1,1169,56.639521,-151.59684,2019:160:04:43:53.190800
1,1170,56.636247,-151.59416,2019:160:04:46:48.036800
1,1171,56.632968,-151.5915,2019:160:04:49:39.570800
1,1172,56.629693,-151.5889,2019:160:04:52:29.566800
1,1173,56.626411,-151.58629,2019:160:04:55:19.820800
1,1174,56.623121,-151.58365,2019:160:04:58:09.382800
1,1175,56.619838,-151.58101,2019:160:05:01:00.057800
1,1176,56.61656,-151.57833,2019:160:05:03:50.838800
1,1177,56.613304,-151.5756,2019:160:05:06:41.180800
1,1178,56.61004,-151.57288,2019:160:05:09:30.295800
1,1179,56.606768,-151.5702,2019:160:05:12:21.730800
1,1180,56.603497,-151.56751,2019:160:05:15:10.500800
1,1181,56.60021,-151.56488,2019:160:05:17:55.688800
1,1182,56.596932,-151.56222,2019:160:05:20:40.985800
1,1183,56.59365,-151.55956,2019:160:05:23:26.806800
1,1184,56.590362,-151.55695,2019:160:05:26:16.107800
1,1185,56.587088,-151.55427,2019:160:05:29:03.822800
1,1186,56.583819,-151.55158,2019:160:05:31:49.454800
1,1187,56.580557,-151.54886,2019:160:05:34:33.190800
1,1188,56.57727,-151.54611,2019:160:05:37:21.162800
1,1189,56.573989,-151.54345,2019:160:05:39:53.119800
1,1190,56.570704,-151.54081,2019:160:05:42:25.185800
1,1191,56.567407,-151.53824,2019:160:05:44:58.958800
1,1192,56.56411,-151.53563,2019:160:05:47:32.585800
1,1193,56.560827,-151.53298,2019:160:05:50:05.096800
1,1194,56.557541,-151.53037,2019:160:05:52:38.839800
1,1195,56.554248,-151.52773,2019:160:05:55:14.870800
1,1196,56.55098,-151.52507,2019:160:05:57:50.412800
1,1197,56.547703,-151.5224,2019:160:06:00:27.400800
1,1198,56.544409,-151.51979,2019:160:06:03:05.709800
1,1199,56.541131,-151.51715,2019:160:06:05:43.796800
1,1200,56.537835,-151.51453,2019:160:06:08:22.583800
1,1201,56.534525,-151.51199,2019:160:06:10:59.409800
1,1202,56.531234,-151.50937,2019:160:06:13:35.969800
1,1203,56.527964,-151.50668,2019:160:06:16:13.963800
1,1204,56.524691,-151.504,2019:160:06:18:50.491800
1,1205,56.521394,-151.50137,2019:160:06:21:29.890800
1,1206,56.518113,-151.49865,2019:160:06:24:06.335800
1,1207,56.514855,-151.49596,2019:160:06:26:43.391800
1,1208,56.511579,-151.4933,2019:160:06:29:23.892800
1,1209,56.50831,-151.49067,2019:160:06:32:04.859800
1,1210,56.505029,-151.48804,2019:160:06:34:49.978800
1,1211,56.501752,-151.48539,2019:160:06:37:24.270800
1,1212,56.498483,-151.48271,2019:160:06:39:57.759800
1,1213,56.495204,-151.48005,2019:160:06:42:31.994800
1,1214,56.49192,-151.47742,2019:160:06:45:02.988800
1,1215,56.488636,-151.47477,2019:160:06:47:38.752800
1,1216,56.485374,-151.47208,2019:160:06:50:07.626800
1,1217,56.482091,-151.46944,2019:160:06:52:38.316800
1,1218,56.478813,-151.46679,2019:160:06:55:10.274800
1,1219,56.47553,-151.46414,2019:160:06:57:38.498800
1,1220,56.472247,-151.46151,2019:160:07:00:11.734800
1,1221,56.468967,-151.45885,2019:160:07:02:43.000800
1,1222,56.465696,-151.45619,2019:160:07:05:11.588800
1,1223,56.462414,-151.45355,2019:160:07:07:49.622800
1,1224,56.459133,-151.4509,2019:160:07:10:22.495800
1,1225,56.455845,-151.44831,2019:160:07:12:52.993800
1,1226,56.452576,-151.44563,2019:160:07:15:27.255800
1,1227,56.449287,-151.44301,2019:160:07:18:01.069800
1,1228,56.446013,-151.44035,2019:160:07:20:36.242800
1,1229,56.442735,-151.4377,2019:160:07:23:17.020800
1,1230,56.439457,-151.43505,2019:160:07:25:52.533800
1,1231,56.436169,-151.43243,2019:160:07:28:27.640800
1,1232,56.432885,-151.4298,2019:160:07:31:06.030800
1,1233,56.429614,-151.42711,2019:160:07:33:43.877800
1,1234,56.426347,-151.4244,2019:160:07:36:23.986800
1,1235,56.423084,-151.42171,2019:160:07:39:03.012800
1,1236,56.41982,-151.41904,2019:160:07:41:37.813800
1,1237,56.416542,-151.41641,2019:160:07:44:10.793800
1,1238,56.413263,-151.41375,2019:160:07:46:49.255800
1,1239,56.409972,-151.41113,2019:160:07:49:27.634800
1,1240,56.406675,-151.40858,2019:160:07:52:08.849800
1,1241,56.403379,-151.40599,2019:160:07:54:47.999801
1,1242,56.400086,-151.40339,2019:160:07:57:29.003800
1,1243,56.396815,-151.40073,2019:160:08:00:07.958800
1,1244,56.39353,-151.39807,2019:160:08:02:44.461800
1,1245,56.390263,-151.39539,2019:160:08:05:21.592800
1,1246,56.386977,-151.39279,2019:160:08:08:01.894800
1,1247,56.383684,-151.39019,2019:160:08:10:44.415800
1,1248,56.380384,-151.38761,2019:160:08:13:21.627800
1,1249,56.377067,-151.38494,2019:160:08:16:03.415800
1,1250,56.373773,-151.38235,2019:160:08:18:47.094800
1,1251,56.370469,-151.37975,2019:160:08:21:32.000800
1,1252,56.367179,-151.37713,2019:160:08:24:19.942800
1,1253,56.363898,-151.37447,2019:160:08:27:05.689800
1,1254,56.360609,-151.37186,2019:160:08:29:48.713800
1,1255,56.357334,-151.36926,2019:160:08:32:30.184800
1,1256,56.354045,-151.3667,2019:160:08:35:15.635800
1,1257,56.350766,-151.3641,2019:160:08:38:01.105800
1,1258,56.347479,-151.36142,2019:160:08:40:47.601800
1,1259,56.344213,-151.35879,2019:160:08:43:38.687800
1,1260,56.340944,-151.35611,2019:160:08:46:21.298800
1,1261,56.337656,-151.35349,2019:160:08:49:07.940800
1,1262,56.33436,-151.35089,2019:160:08:52:01.316800
1,1263,56.331073,-151.34823,2019:160:08:54:51.185800
1,1264,56.327805,-151.34559,2019:160:08:57:36.821800
1,1265,56.324535,-151.34295,2019:160:09:00:23.273800
1,1266,56.321233,-151.34041,2019:160:09:03:15.246800
1,1267,56.317944,-151.33779,2019:160:09:06:06.224800
1,1268,56.314679,-151.33513,2019:160:09:08:45.451800
1,1269,56.311388,-151.3325,2019:160:09:11:39.467800
1,1270,56.30813,-151.32981,2019:160:09:14:28.630800
1,1271,56.304844,-151.32718,2019:160:09:17:16.826800
1,1272,56.301576,-151.32453,2019:160:09:19:59.828800
1,1273,56.298283,-151.3219,2019:160:09:22:50.000800
1,1274,56.295002,-151.31928,2019:160:09:25:29.740800
1,1275,56.291725,-151.31662,2019:160:09:28:10.642800
1,1276,56.288463,-151.31394,2019:160:09:30:50.813800
1,1277,56.285177,-151.31131,2019:160:09:33:38.616800
1,1278,56.281887,-151.30867,2019:160:09:36:16.066800
1,1279,56.278639,-151.30603,2019:160:09:38:56.951800
1,1280,56.275358,-151.30339,2019:160:09:41:43.584800
1,1281,56.27208,-151.30077,2019:160:09:44:31.697800
1,1282,56.268799,-151.29815,2019:160:09:47:21.516800
1,1283,56.265536,-151.29549,2019:160:09:50:08.019800
1,1284,56.262265,-151.29282,2019:160:09:52:49.307800
1,1285,56.258979,-151.29022,2019:160:09:55:28.580800
1,1286,56.2557,-151.28759,2019:160:09:58:15.129800
1,1287,56.252417,-151.285,2019:160:10:00:53.653800
1,1288,56.249139,-151.28237,2019:160:10:03:33.142800
1,1289,56.245835,-151.2798,2019:160:10:06:15.898800
1,1290,56.24257,-151.27712,2019:160:10:09:09.882800
1,1291,56.239288,-151.27449,2019:160:10:11:54.587800
1,1292,56.235993,-151.27189,2019:160:10:14:41.088800
1,1293,56.2327,-151.26931,2019:160:10:17:32.693800
1,1294,56.229405,-151.26672,2019:160:10:20:22.852800
1,1295,56.226109,-151.26414,2019:160:10:23:14.693800
1,1297,56.21955,-151.25893,2019:160:10:28:47.632800
1,1298,56.216282,-151.25633,2019:160:10:31:31.803800
1,1299,56.212947,-151.25378,2019:160:10:34:18.847800
1,1300,56.209669,-151.25117,2019:160:10:37:10.154800
1,1301,56.206373,-151.24859,2019:160:10:40:02.664800
1,1302,56.203087,-151.246,2019:160:10:42:58.714800
1,1303,56.199821,-151.24332,2019:160:10:45:50.860800
1,1304,56.196552,-151.2407,2019:160:10:48:40.893800
1,1305,56.193293,-151.23802,2019:160:10:51:26.631800
1,1306,56.189975,-151.23549,2019:160:10:54:21.271800
1,1307,56.186696,-151.23285,2019:160:10:57:25.595800
1,1308,56.183468,-151.23015,2019:160:11:00:12.934800
1,1309,56.180151,-151.22764,2019:160:11:03:26.356800
1,1310,56.17687,-151.22503,2019:160:11:06:30.972800
1,1311,56.173599,-151.22239,2019:160:11:09:26.243800
1,1312,56.170318,-151.21972,2019:160:11:12:28.251800
1,1313,56.167033,-151.21717,2019:160:11:15:23.900800
1,1314,56.163762,-151.21454,2019:160:11:18:12.776800
1,1315,56.160473,-151.21193,2019:160:11:21:02.909800
1,1316,56.157189,-151.20935,2019:160:11:24:01.442800
1,1317,56.153906,-151.20676,2019:160:11:26:55.335800
1,1318,56.150589,-151.20421,2019:160:11:29:45.479800
1,1319,56.147296,-151.20166,2019:160:11:32:36.526800
1,1320,56.143967,-151.19904,2019:160:11:35:32.759800
1,1321,56.140702,-151.1964,2019:160:11:38:18.474800
1,1322,56.137407,-151.19384,2019:160:11:41:05.243800
1,1323,56.134121,-151.19123,2019:160:11:43:53.973800
1,1324,56.130839,-151.18861,2019:160:11:46:37.066800
1,1325,56.127565,-151.18596,2019:160:11:49:18.769800
1,1326,56.124269,-151.18342,2019:160:11:52:04.034800
1,1327,56.120972,-151.18085,2019:160:11:54:47.289800
1,1328,56.117689,-151.17827,2019:160:11:57:34.254800
1,1329,56.11438,-151.17571,2019:160:12:00:21.966800
1,1330,56.111103,-151.1731,2019:160:12:03:12.869800
1,1331,56.107827,-151.17049,2019:160:12:05:58.699800
1,1332,56.104528,-151.1679,2019:160:12:08:43.961800
1,1333,56.101265,-151.1652,2019:160:12:11:28.884800
1,1334,56.097993,-151.16259,2019:160:12:14:13.002800
1,1335,56.094712,-151.15997,2019:160:12:17:00.156800
1,1336,56.091435,-151.15734,2019:160:12:19:44.043800
1,1337,56.088158,-151.15471,2019:160:12:22:26.931800
1,1338,56.084879,-151.15208,2019:160:12:25:14.052800
1,1339,56.081581,-151.14951,2019:160:12:28:08.973800
1,1340,56.078295,-151.14695,2019:160:12:31:00.483800
1,1341,56.075017,-151.1443,2019:160:12:33:54.710800
1,1342,56.071741,-151.14166,2019:160:12:36:46.159800
1,1343,56.06846,-151.13906,2019:160:12:39:33.709800
1,1344,56.065157,-151.13651,2019:160:12:42:20.883800
1,1345,56.06187,-151.13392,2019:160:12:45:05.654800
1,1346,56.058565,-151.13141,2019:160:12:47:50.435800
1,1347,56.055293,-151.12879,2019:160:12:50:37.743800
1,1348,56.051995,-151.12622,2019:160:12:53:31.983800
1,1349,56.048709,-151.12359,2019:160:12:56:21.934800
1,1350,56.045432,-151.12105,2019:160:12:59:19.447800
1,1351,56.042154,-151.1184,2019:160:13:02:16.739800
1,1352,56.038843,-151.1159,2019:160:13:05:17.209800
1,1353,56.03556,-151.11329,2019:160:13:08:14.701800
1,1354,56.032304,-151.11062,2019:160:13:11:05.712800
1,1355,56.029022,-151.10803,2019:160:13:13:57.889800
1,1356,56.025728,-151.10542,2019:160:13:16:45.524800
1,1357,56.022427,-151.1029,2019:160:13:19:40.016800
1,1358,56.019133,-151.10033,2019:160:13:22:34.127800
1,1359,56.015809,-151.09759,2019:160:13:25:29.812800
1,1360,56.01259,-151.09507,2019:160:13:28:09.939800
1,1361,56.009297,-151.0925,2019:160:13:30:54.410800
1,1362,56.005999,-151.0899,2019:160:13:33:39.838800
