,code,lat,lon,elev_m
0,1001,57.839191,-152.453612,16.0
1,1002,57.840466,-152.44923,2.0
2,1003,57.84162,-152.444092,1.0
3,1004,57.757925,-152.51495,6.0
4,2001,57.583904,-152.449349,2.0
5,2002,57.586905,-152.445474,5.0
6,2003,57.588387,-152.44127,5.0
7,2004,57.589382,-152.436855,7.0
8,2005,57.590691,-152.432285,7.0
9,2006,57.592171,-152.427812,4.0
10,2007,57.59416,-152.424586,8.0
11,2008,57.596825,-152.422067,8.0
12,2009,57.597325,-152.417325,2.0
13,2010,57.59698,-152.412662,17.0
14,2011,57.600059,-152.412261,30.0
15,2012,57.60249,-152.409628,16.0
16,2014,57.606252,-152.401551,6.0
17,2015,57.607765,-152.396807,14.0
18,2016,57.609339,-152.393467,23.0
19,2017,57.610775,-152.391318,14.0
20,2018,57.611519,-152.387355,14.0
21,2019,57.612892,-152.383282,25.0
22,2020,57.614118,-152.378758,14.0
23,2021,57.615888,-152.375146,11.0
24,2022,57.616989,-152.370707,7.0
25,2023,57.617055,-152.365919,26.0
26,2024,57.617186,-152.361581,33.0
27,2025,57.61771,-152.356901,30.0
28,2026,57.618524,-152.352785,25.0
29,2027,57.619893,-152.348107,9.0
30,2028,57.62042,-152.344063,3.0
31,2029,57.62219,-152.339058,14.0
32,2030,57.623381,-152.334951,5.0
33,2031,57.624756,-152.331561,0.0
34,2032,57.624942,-152.327639,0.0
35,2033,57.621708,-152.325958,0.0
36,2034,57.618453,-152.325332,0.0
37,2035,57.61632,-152.32117,0.0
38,2036,57.616415,-152.317167,0.0
39,2037,57.616838,-152.312439,2.0
40,2038,57.617495,-152.307756,19.0
41,2039,57.616666,-152.303971,40.0
42,2040,57.619747,-152.302356,47.0
43,2041,57.621684,-152.298451,36.0
44,2042,57.622168,-152.295093,24.0
45,2043,57.623181,-152.28985,22.0
46,2044,57.624093,-152.285897,26.0
47,2045,57.625045,-152.281073,12.0
48,2046,57.62557,-152.277145,5.0
49,2047,57.625579,-152.272305,0.0
50,2048,57.62361,-152.267456,3.0
51,2049,57.620614,-152.264988,1.0
52,2052,57.618194,-152.256817,22.0
53,2053,57.617232,-152.253506,12.0
54,2054,57.615596,-152.248785,0.0
55,2055,57.61419,-152.243608,13.0
56,2056,57.61346,-152.240075,9.0
57,2057,57.61536,-152.236353,21.0
58,2058,57.615341,-152.231783,30.0
59,2059,57.615959,-152.227016,42.0
60,2060,57.617511,-152.223736,39.0
61,2061,57.618858,-152.219337,31.0
62,2062,57.617807,-152.210739,23.0
63,2063,57.618159,-152.206646,5.0
64,2064,57.61598,-152.202961,0.0
65,2065,57.613415,-152.199335,0.0
66,2066,57.613948,-152.195657,0.0
67,2067,57.614582,-152.190805,3.0
68,2068,57.613514,-152.186795,5.0
